function_id,function_name
1,Accounting
2,Administrative
3,Arts and Design
4,Business Development
5,Community and Social Services
6,Consulting
7,Customer Success and Support
8,Education
9,Engineering
10,Entrepreneurship
11,Finance
12,Healthcare Services
13,Human Resources
14,Information Technology
15,Legal
16,Marketing
17,Media and Communication
18,Military and Protective Services
19,Operations
20,Product Management
21,Program and Project Management
22,Purchasing
23,Quality Assurance
24,Real Estate
25,Research
26,Sales