state_id,state_name,state_code,region_id
1,Alabama,AL,3
2,Alaska,AK,4
3,Arizona,AZ,4
4,Arkansas,AR,3
5,California,CA,4
6,Colorado,CO,4
7,Connecticut,CT,1
8,Delaware,DE,3
9,District Of Columbia,DC,5
10,Florida,FL,3
11,Georgia,GA,3
12,Guam,GU,6
13,Hawaii,HI,4
14,Idaho,ID,4
15,Illinois,IL,2
16,Indiana,IN,2
17,Iowa,IA,2
18,Kansas,KS,2
19,Kentucky,KY,3
20,Louisiana,LA,3
21,Maine,ME,1
22,Maryland,MD,3
23,Massachusetts,MA,1
24,Michigan,MI,2
25,Minnesota,MN,2
26,Mississippi,MS,3
27,Missouri,MO,2
28,Montana,MT,4
29,Nebraska,NE,2
30,Nevada,NV,4
31,New Hampshire,NH,1
32,New Jersey,NJ,1
33,New Mexico,NM,4
34,New York,NY,1
35,North Carolina,NC,3
36,North Dakota,ND,2
37,Ohio,OH,2
38,Oklahoma,OK,3
39,Oregon,OR,4
40,Pennsylvania,PA,1
41,Puerto Rico,PR,6
42,Rhode Island,RI,1
43,South Carolina,SC,3
44,South Dakota,SD,2
45,Tennessee,TN,3
46,Texas,TX,3
47,Utah,UT,4
48,Vermont,VT,1
49,Virgin Islands,VI,6
50,Virginia,VA,3
51,Washington,WA,4
52,West Virginia,WV,3
53,Wisconsin,WI,2
54,Wyoming,WY,4